id_n,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
33260030820082.0,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106
33260030820091.0,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106
33260030820109.0,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106
33260030820118.0,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106,260.34106
33280011120014.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120022.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120030.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120046.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120055.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120071.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120079.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120087.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120103.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280011120111.0,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262,64.23262
33280030220011.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220043.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220059.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220091.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220107.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220123.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220155.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220171.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220203.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33280030220219.0,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886,179.98886
33300010220007.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220024.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220056.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220072.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220089.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220121.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220138.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220170.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220186.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300010220203.0,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814,456.59814
33300021520010.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520027.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520062.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520080.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520115.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520133.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520150.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520185.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520203.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300021520238.0,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774,120.605774
33300030220012.0,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585,188.55585
