,weight,CONS_Total,vatax,table_row
1196,146.16542,31613.172456599663,4530.918656920266,2
2717,29.07668,31901.617312411578,4708.494519927306,2
4220,7.3314357,32234.19231246077,3131.32153892476,2
8291,38.516888,32413.271158641102,4309.404519868267,2
3246,49.920124,32438.853850952582,5042.348654592077,2
7953,101.408806,32592.35000482144,4888.8525007232165,2
7548,18.532602,32669.098081755878,2402.214808047672,2
2023,31.89626,32694.680774067358,920.9769232131647,2
6429,13.478595,32758.63750484604,1909.1084137439566,2
2895,25.940062,32886.55096640343,6059.26067397328,2
4254,31.134459,33040.04712027229,3666.639375542413,2
1211,119.60596,33078.4211587395,2655.4834619312924,2
7901,12.384259,33129.586543362464,1853.4660579664946,2
6328,27.396257,33257.500004919835,2206.507211864874,2
7949,47.690212,33257.50000491984,3741.468750553483,2
1581,23.109745,33398.20481263296,1462.0508656008994,2
6122,239.94012,33666.82308190347,1734.5065387181269,2
3544,115.414444,33858.69327423955,2285.173990722665,2
2661,32.05303,33884.275966551024,3543.842452447323,2
4299,19.466852,33999.39808195267,6389.277404791331,2
6947,24.063635,34242.433658911694,2768.6868754095763,2
7236,11.081937,34523.84327433794,4395.7461064195,2
50,38.95181,34664.54808205107,5199.682212307659,2
7022,33.36095,34818.04423591992,1811.2546156525575,2
2169,16.414694,35009.914428256,5919.195433567945,2
6518,38.846363,35048.28846672322,4888.852500723217,2
5353,225.51529,35433.94755331873,5315.092132997809,2
963,251.97461,35508.7769283298,3035.3864427567223,2
3011,20.300251,35611.1076975757,1181.9203847902281,2
7649,9.181732,35790.18654375604,7521.31153957418,2
6784,8.756352,36046.01346687081,2459.7758657484947,2
6310,15.227603,36148.34423611672,3948.6885582764444,2
555,33.9339,36402.38037076968,5379.7715748343,2
7960,20.657774,36634.41539003479,5464.463077731445,2
2166,16.414694,36749.537505436434,4301.729712174824,2
5898,242.88655,36813.49423621512,3330.86653895428,2
6159,227.04887,36928.616351616765,3973.631683280135,2
8185,12.541931,36954.19904392825,5330.153943096193,2
6341,22.14924,37056.529813174144,3777.924087097337,2
6476,28.112497,37056.529813174144,5186.251298844135,2
7639,23.091848,37094.90385164136,3906.4771159625075,2
4234,21.399605,37158.86058242006,3286.7363947169824,2
3568,138.10083,37222.81731319874,3096.784904304266,2
4213,8.476808,37235.60865935448,4929.1452411137925,2
6281,26.83466,37401.89615937908,1815.0920194992786,2
6539,20.445454,37440.270197846294,3177.370385085418,2
1215,119.60596,37504.226928625,1185.7577886369497,2
1867,26.315783,37517.01827478073,5309.048221939223,2
7898,13.027424,37529.809620936474,4340.10375064204,2
6690,24.096428,37772.8451978955,2776.3616831030195,2
1129,86.10694,37887.967313297144,1841.9538464263296,2
7217,37.098106,38207.7509671906,6383.5212990212485,2
4191,7.3679104,38220.54231334635,2997.0124042895077,2
1835,51.473965,38271.70769796929,2302.442308032912,2
4205,6.1944494,38374.0384672152,5706.2195200749,2
7772,16.011494,38501.951928772585,5218.869231541267,2
259,54.15656,38681.030774952924,3092.9475004575456,2
7064,22.559658,38706.6134672644,5648.658462374076,2
2972,8.147934,38783.36154419882,4712.331923774026,2
8336,32.808388,38808.94423651031,2390.702596507507,2
7947,47.690212,38872.900967289,4115.615625608831,2
7858,7.851349,38911.27500575622,5192.007404614218,2
7773,16.011494,39141.5192365595,4708.494519927303,2
333,162.02454,39269.4326981169,3069.9230773772165,2
7957,101.408806,39397.34615967428,5832.8538470167105,2
7134,20.65163,39538.0509673874,2958.638365822292,2
3513,41.42308,39614.79904432182,5850.122164326957,2
1352,128.37134,39627.59039047756,4102.184712145305,2
7079,36.291626,39640.3817366333,4766.055577628128,2
1176,78.390396,39640.38173663331,2799.3861061833486,2
2728,13.560897,39704.338467411995,10652.633078498937,2
7768,22.213478,39781.08654434643,2927.9391350485193,2
6541,34.97718,39857.834621280854,4297.892308328102,2
8293,38.516888,40088.078852084145,7156.758174135635,2
3201,56.280556,40267.15769826449,5410.739423877343,2
1420,128.78261,40270.867188649645,4478.250289124014,2
4164,16.733898,40369.4884675104,8906.61432824065,2
1213,119.60596,40446.23654444482,2049.1736541492915,2
6007,73.425,40676.48077524811,4282.542692941215,2
2794,42.31,40753.22885218255,4086.8350967584192,2
4203,6.1944494,40804.3942368055,5168.982981533887,2
8153,30.370056,41252.091352256335,2945.2074523587667,2
7932,19.531248,41559.08365999407,3493.9562024399447,2
